instance_name	criteria_function	paths_count	average_gap	minimum_gap	maximum_gap	average_execution_time	minimum_execution_time	maximum_execution_time
pr01	benefit_insertion_ratio	1	53.60730593607307	53.12024353120244	54.64231354642314	784.4886266231537	605.5235297679901	925.5391912460328
pr01	benefit_insertion_ratio	2	29.467275494672755	28.61491628614916	30.59360730593607	1316.6035954475403	861.8046007156372	1674.736022233963
pr01	benefit_insertion_ratio	3	10.015220700152208	8.21917808219178	11.415525114155251	1547.6049434661866	1280.4512777328491	1809.337716817856
pr01	benefit_insertion_ratio	4	0.7610350076103499	0.45662100456621	1.21765601217656	1629.840396308899	1263.6492199897766	1810.5557556152344
pr02	benefit_insertion_ratio	1	68.31147540983606	67.95081967213115	68.68852459016394	1430.5041554927825	1202.59738945961	1793.680751800537
pr02	benefit_insertion_ratio	2	45.50819672131148	45.0	46.14754098360656	1806.07258477211	1803.466454744339	1808.7920458316803
pr02	benefit_insertion_ratio	3	29.540983606557383	27.54098360655738	31.06557377049181	1814.5875906467438	1808.52343416214	1818.827786207199
pr02	benefit_insertion_ratio	4	18.295081967213115	15.655737704918032	19.83606557377049	1814.012042427063	1805.104172706604	1822.788332223892
pr03	benefit_insertion_ratio	1	78.38926174496643	77.96420581655481	78.85906040268456	1363.2050366401672	1169.9755194187164	1803.3498840332031
pr03	benefit_insertion_ratio	2	61.70022371364653	61.29753914988815	62.41610738255034	1810.591751241684	1803.717643737793	1817.1121175289156
pr03	benefit_insertion_ratio	3	48.702460850111855	46.92393736017897	49.77628635346756	1825.466893005371	1803.897426366806	1850.8409838676453
pr03	benefit_insertion_ratio	4	39.02684563758389	38.59060402684564	39.48545861297539	1834.7867150306702	1806.956181526184	1859.8376171588895
pr04	benefit_insertion_ratio	1	82.22850222042794	81.95397658457811	82.72103350827614	1804.90443110466	1800.6520495414734	1808.118059396744
pr04	benefit_insertion_ratio	2	66.96003229713362	65.60355268469922	68.06620912394024	1815.7783978939055	1801.88872051239	1828.9279873371124
pr04	benefit_insertion_ratio	3	54.05732741219217	51.23132821962051	55.42995559144126	1850.095504951477	1826.8140232563017	1872.9368288517
pr04	benefit_insertion_ratio	4	44.23092450545015	41.38070246265644	45.78118691966088	1836.4004377365113	1805.813208818436	1867.849268436432
pr05	benefit_insertion_ratio	1	83.82572366457774	83.37809609071918	84.18382572366457	1816.5184250831603	1808.9459624290464	1825.0104446411133
pr05	benefit_insertion_ratio	2	71.31602506714414	69.74037600716204	72.30677409728439	1844.7176867485045	1804.7962934970856	1909.5097591876984
pr05	benefit_insertion_ratio	3	61.43837660399881	60.51924798567592	62.19039092808117	1856.1315900802613	1819.34007191658	1895.8593108654024
pr05	benefit_insertion_ratio	4	52.47985675917637	49.686660698299015	53.4168904804536	1894.5692731380464	1839.288274526596	1969.938252210617
pr06	benefit_insertion_ratio	1	86.15636066466904	84.99046581312993	87.19694906020158	1810.3747563362122	1802.6829047203064	1819.8641500473025
pr06	benefit_insertion_ratio	2	76.24080631980387	75.04767093435031	77.60828112230999	1824.5015549182892	1812.8253140449524	1852.248327255249
pr06	benefit_insertion_ratio	3	65.66603105420867	64.75074911468265	66.9572323617543	1844.6523290157318	1817.723541021347	1898.9449121952057
pr06	benefit_insertion_ratio	4	56.49141923181694	55.10760010896214	57.64096976300736	1906.5225449085235	1832.6301419734957	1963.813009738922
pr07	benefit_insertion_ratio	1	69.47257383966245	68.56540084388185	70.25316455696202	651.1754179477691	498.8391065597534	804.8177256584167
pr07	benefit_insertion_ratio	2	42.25738396624473	41.77215189873418	42.721518987341774	1806.0370237350464	1802.13156747818	1808.5734910964968
pr07	benefit_insertion_ratio	3	24.430379746835445	23.20675105485232	25.73839662447257	1805.0494216918946	1800.3166766166687	1813.2131419181824
pr07	benefit_insertion_ratio	4	14.050632911392404	13.080168776371307	15.084388185654008	1807.6010717868805	1802.8851680755613	1812.2103416919708
pr08	benefit_insertion_ratio	1	78.31505483549353	77.96610169491525	78.86340977068794	1613.0410987854004	1321.8068916797638	1805.4334378242493
pr08	benefit_insertion_ratio	2	61.73479561316052	60.36889332003989	62.86141575274178	1810.3349969387054	1801.2423949241638	1820.950697183609
pr08	benefit_insertion_ratio	3	48.275174476570285	46.959122632103686	49.85044865403789	1830.599524974823	1800.0532584190369	1845.7926008701324
pr08	benefit_insertion_ratio	4	38.32502492522433	36.09172482552343	40.27916251246261	1823.8966091632847	1802.4670684337616	1872.562007427216
pr09	benefit_insertion_ratio	1	83.44298245614036	82.63888888888889	84.50292397660819	1811.8633202075957	1805.46852684021	1818.053873538971
pr09	benefit_insertion_ratio	2	71.16959064327486	69.88304093567251	72.18567251461988	1823.8487102985382	1805.0423505306244	1844.3853561878204
pr09	benefit_insertion_ratio	3	60.789473684210535	58.99122807017544	62.06140350877193	1860.3094858646393	1816.8383977413175	1888.9502987861636
pr09	benefit_insertion_ratio	4	49.276315789473685	47.58771929824561	51.27923976608187	1861.3434104442597	1812.714691877365	1887.921979188919
pr10	benefit_insertion_ratio	1	86.21818181818182	85.84415584415585	86.46753246753246	1820.1818033218383	1807.850253105164	1834.282117843628
pr10	benefit_insertion_ratio	2	75.0077922077922	73.35064935064935	76.88311688311688	1846.780982351303	1800.2869217395782	1877.9552717208865
pr10	benefit_insertion_ratio	3	65.47532467532469	65.06493506493507	66.75324675324676	1861.269242811203	1802.4125525951383	1929.8607847690585
pr10	benefit_insertion_ratio	4	57.111688311688305	54.64935064935064	59.14285714285714	1870.1657357692718	1824.5091607570648	1916.0746200084689
