paths	score	execution_time	gap
[[0, 159, 88, 176, 71, 119, 27, 216, 47, 2, 147, 26, 179, 237, 43, 67, 18, 143, 123, 34, 144, 72, 49, 225, 0], [0, 80, 81, 153, 29, 213, 62, 235, 11, 193, 157, 102, 105, 165, 79, 85, 212, 30, 198, 182, 136, 64, 32, 9, 0]]	909.0	64.20518183708191	72.87376902417189
[[0, 119, 204, 2, 176, 164, 50, 88, 71, 26, 27, 179, 237, 67, 18, 238, 43, 34, 123, 72, 136, 64, 30, 32, 0], [0, 80, 81, 153, 162, 202, 62, 77, 106, 102, 29, 235, 230, 166, 212, 198, 85, 79, 165, 173, 144, 182, 201, 225, 0]]	843.0	62.31756591796875	74.84333034914951
[[0, 204, 176, 153, 213, 162, 221, 26, 40, 216, 27, 179, 237, 43, 34, 123, 72, 238, 67, 173, 144, 143, 148, 197, 131, 0], [0, 24, 120, 156, 118, 77, 62, 235, 29, 102, 188, 165, 18, 85, 79, 105, 212, 182, 198, 12, 32, 64, 30, 225, 201, 0]]	864.0	72.48235273361206	74.21665174574754
[[0, 176, 119, 54, 153, 221, 204, 27, 2, 147, 47, 110, 216, 40, 34, 123, 136, 198, 64, 166, 12, 9, 30, 197, 131, 0], [0, 80, 81, 213, 29, 162, 77, 62, 179, 26, 43, 238, 18, 165, 102, 142, 193, 203, 235, 187, 212, 182, 85, 143, 79, 121, 32, 225, 0]]	920.0	74.11698246002197	72.54550880334229
[[0, 159, 88, 176, 71, 119, 4, 157, 75, 91, 11, 193, 203, 235, 230, 20, 187, 142, 15, 129, 144, 218, 201, 0], [0, 24, 135, 80, 29, 81, 162, 62, 43, 179, 237, 18, 102, 188, 79, 165, 212, 121, 64, 198, 136, 85, 182, 30, 9, 0]]	863.0	63.774795055389404	74.24649358400478
[[0, 153, 81, 80, 29, 202, 62, 77, 162, 230, 235, 102, 165, 18, 85, 182, 136, 198, 212, 187, 142, 79, 197, 32, 0], [0, 204, 176, 119, 88, 231, 115, 221, 43, 179, 27, 26, 163, 67, 238, 237, 34, 123, 72, 144, 143, 30, 225, 201, 0]]	859.0	70.12283086776733	74.36586093703372
[[0, 24, 83, 135, 80, 213, 162, 230, 193, 91, 157, 61, 105, 198, 136, 64, 30, 121, 227, 197, 131, 0], [0, 176, 119, 153, 81, 29, 62, 188, 102, 235, 203, 11, 142, 212, 182, 85, 165, 36, 144, 79, 32, 9, 0]]	754.0	47.58184242248535	77.49925395404357
[[0, 153, 24, 135, 80, 81, 115, 102, 235, 29, 188, 105, 165, 18, 238, 43, 79, 212, 121, 198, 136, 182, 85, 143, 32, 0], [0, 77, 137, 204, 119, 176, 88, 71, 159, 154, 75, 157, 91, 11, 193, 142, 203, 230, 9, 37, 30, 144, 218, 201, 0]]	864.0	72.42271733283997	74.21665174574754
[[0, 153, 204, 77, 62, 162, 213, 29, 81, 102, 231, 125, 188, 18, 165, 105, 79, 85, 182, 212, 121, 198, 12, 32, 9, 181, 197, 131, 0], [0, 159, 176, 88, 71, 119, 26, 221, 157, 193, 91, 11, 142, 203, 20, 235, 187, 230, 66, 112, 28, 133, 225, 0]]	875.0	64.45822358131409	73.88839152491794
[[0, 159, 88, 119, 176, 26, 115, 231, 67, 179, 34, 43, 123, 72, 143, 173, 30, 225, 197, 0], [0, 80, 81, 213, 153, 204, 77, 162, 62, 29, 102, 188, 36, 18, 165, 105, 212, 64, 198, 136, 182, 85, 79, 121, 32, 9, 0]]	833.0	49.847238063812256	75.14174873172188
