paths	score	execution_time	gap
[[0, 24, 156, 152, 110, 18, 102, 123, 79, 142, 9, 236, 191, 0], [0, 159, 80, 88, 26, 212, 163, 43, 67, 167, 0], [0, 44, 117, 2, 238, 61, 105, 173, 21, 178, 0], [0, 77, 120, 29, 213, 219, 166, 198, 85, 129, 103, 0]]	838.0	16.151913166046143	74.99253954043569
[[0, 176, 80, 135, 226, 219, 85, 109, 236, 191, 0], [0, 156, 153, 204, 2, 213, 237, 179, 102, 187, 41, 181, 103, 0], [0, 169, 152, 62, 27, 147, 110, 26, 157, 105, 142, 167, 0], [0, 8, 53, 120, 43, 66, 79, 123, 136, 112, 186, 0]]	809.0	18.065328359603882	75.85795284989555
[[0, 80, 62, 2, 213, 29, 230, 166, 110, 215, 19, 131, 0], [0, 77, 204, 176, 226, 123, 185, 79, 9, 197, 0], [0, 89, 38, 219, 102, 66, 163, 167, 191, 0], [0, 169, 152, 53, 120, 43, 105, 179, 237, 85, 32, 142, 129, 103, 0]]	818.0	17.626586198806763	75.58937630558043
[[0, 77, 156, 120, 2, 102, 110, 215, 21, 57, 197, 0], [0, 44, 219, 43, 18, 230, 79, 142, 112, 93, 0], [0, 159, 29, 62, 213, 26, 179, 237, 123, 212, 163, 167, 191, 0], [0, 176, 80, 88, 105, 203, 11, 157, 109, 103, 0]]	809.0	16.807714462280273	75.85795284989555
[[0, 204, 156, 120, 102, 43, 67, 165, 105, 110, 129, 19, 131, 0], [0, 24, 213, 80, 135, 219, 216, 215, 112, 236, 191, 0], [0, 159, 152, 237, 163, 212, 235, 142, 167, 0], [0, 176, 62, 119, 26, 179, 185, 79, 61, 144, 103, 0]]	803.0	16.644920587539673	76.03700387943897
[[0, 204, 137, 156, 152, 110, 147, 142, 212, 230, 171, 167, 0], [0, 176, 88, 226, 123, 79, 129, 61, 85, 121, 181, 103, 0], [0, 8, 120, 62, 43, 18, 188, 105, 102, 36, 163, 112, 186, 191, 0], [0, 24, 213, 29, 80, 219, 114, 28, 236, 32, 0]]	875.0	20.433180570602417	73.88839152491794
[[0, 25, 77, 62, 213, 219, 43, 215, 136, 167, 0], [0, 24, 80, 120, 2, 185, 21, 19, 131, 0], [0, 204, 117, 74, 61, 85, 212, 173, 129, 103, 0], [0, 169, 152, 156, 27, 47, 110, 237, 102, 203, 142, 230, 79, 112, 236, 191, 0]]	813.0	17.137455224990845	75.7385854968666
[[0, 24, 135, 80, 219, 212, 203, 11, 157, 136, 198, 167, 0], [0, 169, 152, 120, 156, 26, 43, 185, 79, 61, 129, 32, 103, 0], [0, 44, 117, 179, 18, 165, 105, 142, 188, 123, 85, 121, 112, 236, 191, 0], [0, 204, 176, 88, 29, 81, 213, 230, 193, 102, 110, 215, 19, 131, 0]]	990.0	27.184393405914307	70.45658012533572
[[0, 44, 219, 157, 179, 188, 142, 61, 15, 28, 103, 0], [0, 80, 152, 110, 47, 27, 123, 105, 43, 67, 167, 191, 0], [0, 204, 156, 120, 102, 18, 237, 2, 185, 129, 32, 0], [0, 24, 153, 176, 230, 74, 212, 79, 163, 21, 225, 0]]	853.0	17.135508060455322	74.54491196657715
[[0, 159, 2, 230, 105, 102, 215, 110, 144, 19, 131, 0], [0, 24, 213, 29, 80, 219, 109, 32, 181, 197, 0], [0, 176, 156, 120, 43, 142, 79, 123, 85, 129, 103, 0], [0, 77, 137, 204, 88, 152, 61, 188, 37, 9, 167, 191, 0]]	811.0	16.382713794708252	75.79826917338109
[[0, 80, 81, 213, 62, 29, 88, 165, 188, 102, 110, 215, 19, 131, 0], [0, 44, 219, 43, 212, 18, 157, 158, 129, 28, 167, 0], [0, 24, 2, 230, 105, 185, 142, 21, 103, 0], [0, 204, 176, 77, 156, 120, 123, 179, 237, 85, 79, 61, 112, 236, 191, 0]]	901.0	22.132933616638184	73.11250373022979
