paths	score	execution_time	gap
[[0, 53, 93, 54, 72, 44, 75, 17, 115, 127, 109, 133, 13, 123, 71, 111, 144, 0], [0, 63, 43, 106, 34, 97, 114, 39, 66, 47, 140, 23, 10, 35, 42, 28, 101, 0], [0, 136, 77, 139, 125, 68, 32, 108, 134, 65, 132, 8, 113, 19, 3, 59, 0], [0, 95, 100, 83, 98, 20, 24, 56, 92, 55, 135, 76, 41, 33, 1, 85, 138, 0]]	1034.0	24.54140543937683	48.45463609172482
[[0, 63, 53, 129, 74, 54, 72, 44, 75, 17, 115, 127, 109, 133, 13, 123, 47, 71, 144, 111, 0], [0, 136, 83, 100, 36, 52, 14, 99, 55, 131, 81, 2, 60, 138, 0], [0, 46, 43, 106, 97, 114, 24, 56, 135, 76, 33, 91, 41, 92, 1, 59, 0], [0, 77, 5, 139, 125, 68, 32, 108, 134, 65, 132, 90, 8, 23, 19, 3, 140, 101, 0]]	1019.0	25.936575174331665	49.2023928215354
[[0, 93, 84, 114, 34, 11, 65, 132, 8, 23, 113, 16, 61, 19, 0], [0, 63, 129, 53, 74, 44, 75, 115, 127, 106, 97, 133, 10, 140, 109, 28, 13, 101, 0], [0, 77, 5, 139, 125, 68, 32, 108, 134, 45, 64, 33, 91, 41, 92, 1, 85, 138, 0], [0, 136, 46, 54, 72, 17, 98, 43, 24, 56, 135, 55, 81, 144, 99, 123, 71, 59, 111, 0]]	1040.0	26.57844591140747	48.155533399800596
[[0, 46, 32, 87, 37, 55, 48, 59, 33, 41, 21, 1, 85, 138, 0], [0, 136, 100, 83, 14, 36, 52, 65, 132, 8, 23, 19, 3, 16, 0], [0, 63, 129, 74, 44, 115, 114, 127, 106, 97, 133, 34, 40, 102, 28, 140, 109, 13, 101, 0], [0, 77, 139, 68, 108, 125, 54, 72, 17, 75, 43, 24, 56, 92, 135, 144, 99, 123, 71, 111, 0]]	1076.0	27.50153088569641	46.360917248255234
[[0, 100, 43, 136, 83, 36, 24, 56, 92, 55, 135, 91, 41, 33, 1, 85, 138, 0], [0, 53, 93, 84, 106, 34, 97, 114, 11, 66, 47, 39, 141, 140, 23, 28, 101, 0], [0, 139, 77, 68, 108, 125, 54, 72, 44, 75, 17, 115, 127, 109, 133, 13, 123, 71, 144, 59, 111, 0], [0, 63, 129, 74, 32, 14, 65, 132, 8, 113, 19, 3, 16, 0]]	1078.0	27.363978624343872	46.26121635094716
[[0, 87, 125, 68, 108, 77, 139, 32, 76, 134, 3, 59, 99, 141, 27, 0], [0, 63, 129, 74, 54, 72, 44, 75, 17, 115, 127, 109, 133, 13, 123, 140, 71, 144, 111, 0], [0, 53, 93, 122, 106, 34, 97, 114, 65, 132, 8, 16, 113, 23, 42, 61, 19, 0], [0, 100, 43, 136, 83, 36, 24, 56, 92, 55, 135, 45, 41, 33, 1, 85, 138, 0]]	1073.0	24.938916206359863	46.51046859421734
[[0, 136, 100, 30, 14, 36, 65, 132, 8, 113, 19, 3, 16, 0], [0, 22, 43, 106, 34, 97, 114, 39, 47, 140, 23, 10, 35, 42, 28, 101, 0], [0, 77, 5, 139, 125, 68, 108, 32, 83, 24, 56, 135, 76, 33, 91, 41, 92, 1, 59, 111, 0], [0, 63, 129, 74, 54, 72, 44, 75, 17, 115, 127, 109, 133, 13, 123, 71, 144, 138, 0]]	1035.0	25.579406023025513	48.40478564307079
[[0, 63, 53, 129, 74, 50, 22, 38, 24, 56, 55, 135, 33, 91, 41, 92, 1, 85, 138, 0], [0, 136, 46, 106, 34, 97, 114, 65, 132, 8, 19, 3, 16, 0], [0, 100, 43, 54, 72, 44, 75, 17, 115, 127, 109, 133, 13, 123, 71, 144, 59, 140, 0], [0, 77, 5, 139, 125, 68, 32, 108, 134, 45, 14, 112, 124, 60, 21, 70, 0]]	1023.0	24.05081605911255	49.00299102691924
[[0, 63, 129, 53, 74, 114, 34, 11, 65, 132, 8, 23, 19, 3, 16, 0], [0, 136, 77, 139, 125, 68, 32, 108, 134, 45, 14, 112, 107, 76, 21, 124, 60, 111, 0], [0, 20, 54, 72, 44, 75, 17, 115, 127, 109, 133, 13, 123, 71, 144, 59, 140, 0], [0, 100, 30, 43, 106, 97, 24, 56, 92, 55, 135, 91, 41, 33, 1, 85, 138, 0]]	1054.0	24.89806056022644	47.45762711864407
[[0, 93, 84, 106, 97, 24, 56, 92, 55, 135, 76, 41, 33, 1, 85, 138, 0], [0, 77, 5, 139, 125, 68, 32, 108, 134, 65, 132, 8, 113, 19, 3, 16, 0], [0, 63, 129, 53, 74, 114, 34, 40, 11, 99, 81, 131, 2, 124, 21, 60, 0], [0, 136, 46, 43, 54, 72, 44, 75, 17, 115, 127, 109, 133, 13, 123, 71, 144, 59, 140, 0]]	1025.0	25.569042205810547	48.903290129611165
