paths	score	execution_time	gap
[[0, 60, 72, 62, 92, 49, 52, 87, 9, 69, 16, 81, 0]]	217.0	0.5940487384796143	82.21311475409836
[[0, 6, 92, 85, 21, 52, 87, 9, 19, 16, 81, 0]]	215.0	0.4989304542541504	82.37704918032787
[[0, 6, 92, 85, 21, 52, 87, 9, 19, 16, 81, 0]]	215.0	0.5041637420654297	82.37704918032787
[[0, 60, 72, 22, 92, 61, 31, 87, 9, 25, 20, 0]]	208.0	0.5027449131011963	82.95081967213115
[[0, 60, 72, 41, 32, 35, 61, 52, 9, 87, 21, 16, 81, 0]]	248.0	0.750683069229126	79.67213114754098
[[0, 22, 41, 32, 92, 93, 52, 87, 9, 19, 16, 81, 0]]	236.0	0.5942070484161377	80.65573770491802
[[0, 60, 72, 32, 22, 92, 52, 91, 87, 9, 16, 20, 0]]	238.0	0.6013228893280029	80.49180327868852
[[0, 6, 22, 64, 7, 31, 16, 20, 0]]	151.0	0.2360246181488037	87.62295081967213
[[0, 6, 22, 32, 72, 64, 61, 49, 16, 20, 0]]	190.0	0.38024210929870605	84.42622950819673
[[0, 22, 41, 72, 64, 52, 21, 87, 9, 19, 16, 81, 0]]	243.0	0.6018121242523193	80.08196721311475
[[0, 6, 22, 72, 15, 52, 9, 31, 16, 81, 0]]	196.0	0.395078182220459	83.93442622950819
[[0, 22, 72, 24, 50, 52, 16, 54, 25, 81, 0]]	183.0	0.38893818855285645	85.0
[[0, 60, 72, 32, 22, 65, 92, 93, 52, 87, 21, 16, 81, 0]]	244.0	0.7212247848510742	80.0
[[0, 60, 72, 41, 32, 92, 52, 87, 9, 81, 16, 0]]	211.0	0.49520111083984375	82.70491803278689
[[0, 60, 22, 41, 32, 65, 31, 61, 9, 87, 21, 16, 81, 0]]	241.0	0.7316272258758545	80.24590163934427
[[0, 60, 22, 41, 72, 64, 10, 52, 16, 20, 0]]	189.0	0.38410282135009766	84.50819672131148
[[0, 6, 22, 72, 65, 32, 31, 9, 54, 52, 16, 20, 0]]	237.0	0.5998532772064209	80.57377049180327
[[0, 6, 22, 92, 31, 21, 87, 9, 16, 5, 0]]	199.0	0.4017918109893799	83.68852459016394
[[0, 22, 41, 72, 64, 31, 87, 9, 16, 20, 0]]	207.0	0.38869261741638184	83.0327868852459
[[0, 6, 22, 72, 7, 52, 54, 21, 16, 20, 0]]	197.0	0.3908381462097168	83.85245901639344
[[0, 22, 41, 32, 49, 44, 87, 81, 20, 0]]	170.0	0.3037905693054199	86.0655737704918
[[0, 60, 22, 41, 72, 49, 52, 87, 9, 19, 16, 81, 0]]	228.0	0.5909302234649658	81.31147540983606
[[0, 22, 72, 7, 52, 87, 21, 54, 20, 0]]	181.0	0.32014989852905273	85.1639344262295
[[0, 22, 32, 72, 7, 52, 87, 9, 16, 20, 0]]	205.0	0.394834041595459	83.19672131147541
[[0, 60, 22, 41, 72, 35, 31, 9, 87, 21, 16, 81, 0]]	233.0	0.607917308807373	80.90163934426229
[[0, 6, 72, 7, 52, 87, 9, 16, 20, 0]]	179.0	0.30757832527160645	85.32786885245902
[[0, 6, 22, 7, 52, 21, 87, 9, 19, 16, 81, 0]]	214.0	0.485335111618042	82.45901639344262
[[0, 60, 22, 41, 72, 92, 93, 52, 87, 9, 19, 16, 81, 0]]	248.0	0.7111873626708984	79.67213114754098
[[0, 60, 72, 22, 64, 95, 31, 87, 9, 19, 16, 20, 0]]	231.0	0.5972189903259277	81.06557377049181
[[0, 22, 92, 31, 9, 87, 21, 16, 81, 0]]	179.0	0.3143317699432373	85.32786885245902
